year,reporting_org_ref,value_usd
2017,XM-DAC-928,2362197266.33
2015,XM-DAC-701-8,139882493084847
2014,XM-DAC-701-8,116174194525130
2013,XM-DAC-701-8,90300853644047.6
2012,XM-DAC-701-8,140394007360803
2011,XM-DAC-701-8,98890013814.3408
2010,XM-DAC-701-8,125105255943.997
2009,XM-DAC-701-8,132976705629.416
2008,XM-DAC-701-8,147854471528.554
2017,GB-CHC-1154085,21116.8577449182
2016,GB-CHC-1154085,15549.6871233748
2015,GB-CHC-1154085,15387.5828949372
2020,NL-KVK-41160054,16649148.7178677
2019,NL-KVK-41160054,30722862.8412322
2018,NL-KVK-41160054,23097969.3532628
2017,NL-KVK-41160054,28647522.967213
2016,NL-KVK-41160054,19231220.2628568
2015,NL-KVK-41160054,15305612.9682041
2015,ZA-NPO-061-870,1690537.37430839
2014,ZA-NPO-061-870,115380430.5058
2013,ZA-NPO-061-870,395380.823051046
2020,XM-OCHA-HPC8568,405694.347539499
2019,XM-OCHA-HPC8568,261390.232193763
2018,XM-OCHA-HPC8568,877.705296780931
2019,KR-GOV-021,735864943348112
2018,KR-GOV-021,1937932306444.26
2020,FI-3,625656554.07798
2019,FI-3,605911043.877483
2018,FI-3,510721716.327373
2017,FI-3,823132390.4097
2016,FI-3,863775044.886473
2015,FI-3,1020070484.27423
2014,FI-3,895329348.247062
2013,FI-3,798891688.401416
2012,FI-3,772471625.803983
2010,FI-3,4471012490
2009,FI-3,608705699
2008,FI-3,444791086
2007,FI-3,320049059
2006,FI-3,170743560
2005,FI-3,3497141
2003,FI-3,51051046
2002,FI-3,27985110
2001,FI-3,43605998
2000,FI-3,19633276
2018,XM-DAC-41302,252408664.16
2017,XM-DAC-41302,240917630
2016,XM-DAC-41302,214556181
2015,XM-DAC-41302,259505207
2014,XM-DAC-41302,257454861
2013,XM-DAC-41302,278793134.88
2012,XM-DAC-41302,240708044.67
2019,ML-NIF-084106436R,89884657236.9057
2021,FR-6,154731095.523402
2019,FR-6,2331679.27519763
2018,FR-6,2474703.30486857
2017,FR-6,3376661.9757308
2016,FR-6,2495692.75664858
2015,FR-6,1236507.37708224
2014,FR-6,11288.0119410467
2013,FR-6,10974601.844163
2012,FR-6,349236.336847312
2006,FR-6,3105.92331747147
2020,AU-ACNC-18055208636,52621937.1301805
2020,GB-CHC-1061352,348031.114537587
2019,GB-CHC-1061352,547576.082529001
2018,GB-CHC-1061352,346030.324339934
2017,GB-CHC-1061352,309414.082678508
2016,GB-CHC-1061352,131157.799651671
2020,FR-3,6938410071.15324
2019,FR-3,6291025632.54567
2018,FR-3,4424338033.98859
2017,FR-3,4812565354.51429
2016,FR-3,3697190594.14571
2015,FR-3,2725981930.28269
2014,FR-3,2323393520.64318
2013,FR-3,733120087.820132
2012,FR-3,2215561054.38143
2011,FR-3,644067209.639428
2019,BE-BCE_KBO-0418015461,1639269.40026352
2018,BE-BCE_KBO-0418015461,2141994.05486509
2017,BE-BCE_KBO-0418015461,2149735.37333476
2020,CA-CRA_ARC-119304848,2118256.20861192
2019,CA-CRA_ARC-119304848,3949859.77349098
2018,CA-CRA_ARC-119304848,3519331.98343798
2017,CA-CRA_ARC-119304848,1869484.50727541
2016,CA-CRA_ARC-119304848,3014389.36042195
2015,CA-CRA_ARC-119304848,3114025.13434377
2014,CA-CRA_ARC-119304848,2569990.84590296
2013,CA-CRA_ARC-119304848,791058.862967348
2020,GB-CHC-209131,5256692.83497632
2019,GB-CHC-209131,9050215.30713612
2018,GB-CHC-209131,6084664.6116735
2017,GB-CHC-209131,1992465.65529243
2016,GB-CHC-209131,347221.952965064
2020,GB-CHC-1047501,4289258.56931203
2019,GB-CHC-1047501,34592570.8802472
2018,GB-CHC-1047501,11085812.8099643
2017,GB-CHC-1047501,11062569.3769965
2016,GB-CHC-1047501,1841713.71647862
2015,GB-CHC-1047501,1790309.24932764
2018,NL-KVK-64763064,54992.426468416
2020,KR-GOV-010,418799254227748
2019,NL-KVK-41177601,2451018.8688815
2018,NL-KVK-41177601,5034775.73095212
2017,NL-KVK-41177601,2715584.68608035
2016,NL-KVK-41177601,3464786.72421876
2020,GB-COH-3799145,14321411.2972832
2019,GB-COH-3799145,14959792.8256859
2018,GB-COH-3799145,21761468.5278848
2017,GB-COH-3799145,22247263.7755212
2016,GB-COH-3799145,129952.5347177
2015,GB-COH-3799145,906974.382237456
2014,GB-COH-3799145,80179.2961303581
2013,GB-COH-3799145,10369257.5036019
2012,GB-COH-3799145,3626474.38111871
2011,GB-COH-3799145,1707480.25848594
2021,XM-DAC-5-7,482012.954969619
2020,XM-DAC-5-7,1215294690.70755
2019,XM-DAC-5-7,1985805397.6826
2018,XM-DAC-5-7,1881538918.34475
2017,XM-DAC-5-7,1389676196.00327
2016,XM-DAC-5-7,473636103.19767
2015,XM-DAC-5-7,141384967.947041
2014,XM-DAC-5-7,27925596.1455633
2020,XM-DAC-301-2,52920829.5190325
2019,XM-DAC-301-2,166101322.488314
2018,XM-DAC-301-2,158631165.239915
2017,XM-DAC-301-2,188611923.329795
2016,XM-DAC-301-2,347439129.526045
2015,XM-DAC-301-2,462119086.070305
2014,XM-DAC-301-2,405481825.259982
2013,XM-DAC-301-2,339843430.589676
2012,XM-DAC-301-2,299544235.658964
2011,XM-DAC-301-2,185902014.926044
2010,XM-DAC-301-2,104388977.246817
2018,US-EIN-27-1661997,2633011
2017,US-EIN-27-1661997,847713
2020,GB-COH-2695347,7123750.41849434
2019,GB-COH-2695347,8258740.79215648
2018,GB-COH-2695347,35676213.0394499
2017,GB-COH-2695347,4808044.54779605
2016,GB-COH-2695347,3665383.64183961
2015,GB-COH-2695347,653153.61750189
2020,GB-CHC-1172875,54917.2472198417
2012,CA-CRA-89980-1815-RR0001,710915.285795157
2019,BE-BCE_KBO-0427736148,8933357.64884098
2018,BE-BCE_KBO-0427736148,7280751.64235741
2017,BE-BCE_KBO-0427736148,7185635.64985592
2020,CH-FDJP-CHE109506789,135160.30143632
2019,CH-FDJP-CHE109506789,300905.305600007
2018,CH-FDJP-CHE109506789,55540.0400913835
2020,GB-CHC-1064413,25049.62414983
2019,GB-CHC-1064413,141883.217077143
2018,GB-CHC-1064413,94407.7295211946
2020,GB-CHC-1048007,1076406.58625567
2019,GB-CHC-1048007,3357121.0749508
2018,GB-CHC-1048007,953968.167645465
2017,GB-CHC-1048007,749972.042498884
2016,GB-CHC-1048007,791761.172306124
2015,GB-CHC-1048007,508337.314690032
2014,GB-CHC-1048007,328461.826702877
2013,GB-CHC-1048007,69707.0874043839
2019,BE-BCE_KBO-0453072647,3498337.27656727
2018,BE-BCE_KBO-0453072647,3443567.13302039
2017,BE-BCE_KBO-0453072647,2691745.90175502
2020,XI-IATI-EC_NEAR,1932726935.7471
2019,XI-IATI-EC_NEAR,2720230484.06002
2018,XI-IATI-EC_NEAR,2464393047.21488
2017,XI-IATI-EC_NEAR,2543616515.80573
2016,XI-IATI-EC_NEAR,2595255604.44324
2015,XI-IATI-EC_NEAR,1966115930.17532
2014,XI-IATI-EC_NEAR,1691763164.95674
2013,XI-IATI-EC_NEAR,1428129722.10753
2012,XI-IATI-EC_NEAR,1323331265.63347
2011,XI-IATI-EC_NEAR,1182937673.17465
2010,XI-IATI-EC_NEAR,1229186452.7489
2009,XI-IATI-EC_NEAR,946688426.67172
2008,XI-IATI-EC_NEAR,813817208.541022
2007,XI-IATI-EC_NEAR,876744301.079543
2006,XI-IATI-EC_NEAR,979537327.81077
2005,XI-IATI-EC_NEAR,648548959.132494
2004,XI-IATI-EC_NEAR,631189181.431956
